_id,body,cites_papers
127599169,@NinjaEconomics @hbdchick @DataIsBeautiful That's pretty interesting. Cf. Wikipedia entries: https://t.co/nFa4L9AngY,[4949436]
130058292,"@rey_z @ENBrown Incidentally, Wiki-women: https://t.co/nFa4L9AngY ; https://t.co/eqxefgu25T",[4949436]
132703735,@nsfaber Compare: https://t.co/nFa4L9AngY,[4949436]
135686308,@NinjaEconomics https://t.co/nFa4L9AngY,[4949436]
135953012,@RAinDiercks Übrigens 5: Auch außerhalb von Unternehmens-Organisationen verhalten sich Frauen so weiblich: https://t.co/nFa4L9AngY,[4949436]
138577753,@CathyReisenwitz @allisonveronica 1 Go thru bar on the right: https://t.co/4KXRoLoBpc ; https://t.co/mdE2Wzpbum ; https://t.co/nFa4L9AngY,[4949436]
156601242,"@NinjaEconomics https://t.co/BT5RHzaIjo - Consider ""Wikipedia entrepreneurship"", easy ""market"" access, no funding problems: https://t.co/nFa4L9AngY","[4538619,4949436]"
157239440,@robert_mariani @CathyReisenwitz 2 Applies to comedy: https://t.co/nFa4L9AngY ; https://t.co/subMA7x40S,[4949436]
158131277,"@ENBrown Here, build sth w/ these four: https://t.co/BT5RHzaIjo ; https://t.co/yrTeejaD2p ; https://t.co/nFa4L9AngY ; https://t.co/lXgkkK4f7p","[4538619,1093697,4949436]"
159605045,@olgakhazan https://t.co/nFa4L9AngY ; https://t.co/nFrQZOfAJO ; https://t.co/lXgkkK4f7p,"[1093697,4949436]"
159696519,@politicalelle @CHSommers @aimeeble @YouTube 2 These two provide further perspective: https://t.co/nFa4L9AngY ; https://t.co/0KXhW5u28l,[4949436]
159789159,@espiers 2 Or just absorve how it works out when single men and women pursue preferences and compete: https://t.co/nFa4L9AngY,[4949436]
159810190,@SonjaTrauss @CathyReisenwitz 4 Read on: https://t.co/uxHS41L8tV ; https://t.co/BT5RHzaIjo ; https://t.co/nFa4L9AngY ; https://t.co/lXgkkK4f7p ; https://t.co/ICW3bmaS6v,"[4538619,1093697,4949436,3085925]"
162040557,@leah_boustan 1 Why did other professions fail at that? Also compare this: https://t.co/nFa4L9AngY,[4949436]
90192677,"Using the Dual Control Model to Study the Rel'p b/w Mood, Genital @  Self-Reported Sexual Arousal in Men and Women https://t.co/Leg3VI2Ifo","[{""$numberLong"":""4956008""}]"
90291387,"RT @cygraham_graham: Using the Dual Control Model to Study the Rel'p b/w Mood, Genital @  Self-Reported Sexual Arousal in Men and Women htt…","[{""$numberLong"":""4956008""}]"
90750557,Feeling vigorous X being prone to sexual excitement predicts genital arousal in women and subjective arousal in men. https://t.co/l0BwDGz0UL,"[{""$numberLong"":""4956008""}]"
90206191,"For gays in China, effect found for left-handedness but not fraternal birth order-small # of siblings to blame? https://t.co/kftrWLw44c","[{""$numberLong"":""4956476""}]"
142132507,"Fraternal Birth Order, Handedness, and Sexual Orientation in a Chinese Population [a] https://t.co/SYPYIXiKbB #LGBT #LGBTQ #queer",[4956476]
142132506,"Fraternal Birth Order, Handedness, and Sexual Orientation in a Chinese Population [a] https://t.co/vffxqdMGb4 #LGBT #LGBTQ #queer",[4956476]
142132675,"RT @HIV_Insight: Fraternal Birth Order, Handedness, and Sexual Orientation in a Chinese Population [a] https://t.co/vffxqdMGb4 #LGBT #LGBTQ…",[4956476]
145030506,"RT @HIV_Insight: Fraternal Birth Order, Handedness, and Sexual Orientation in a Chinese Population [a] https://t.co/vffxqdMGb4 #LGBT #LGBTQ…",[4956476]
145030341,"Fraternal Birth Order, Handedness, and Sexual Orientation in a Chinese Population [a] https://t.co/vffxqdMGb4 #LGBT #LGBTQ #queer",[4956476]
90421341,"""proportion of women n scientific field = more similar stereotypes of scientists n field were to those about women"" https://t.co/Z1ZYbYbpNL","[{""$numberLong"":""4966609""}]"
91102804,On the similarity between #stereotypes about women / men &amp; stereotypes about successful #scientists https://t.co/UZ2v4V6nlS #womeninscience,"[{""$numberLong"":""4966609""}]"
91103732,RT @Research_Voice: On the similarity between #stereotypes about women / men &amp; stereotypes about successful #scientists https://t.co/UZ2v4V…,"[{""$numberLong"":""4966609""}]"
97771315,Prof. Linda Carli's research: stereotypes about women may lead to discrimination in STEM. #IWD2016 #PLEDGEFORPARITY. https://t.co/JF6FzvMCoo,"[{""$numberLong"":""4966609""}]"
100056192,Stereotypes About Gender and Science https://t.co/7zRhKuUgQA,"[{""$numberLong"":""4966609""}]"
100056479,RT @AMCELL: Stereotypes About Gender and Science https://t.co/7zRhKuUgQA,"[{""$numberLong"":""4966609""}]"
100121060,女性に関するステレオタイプよりも男性に関するステレオタイプの方が科学者に関するステレオタイプと似ている。しかし、女性が多い科学分野では女性ステレオタイプの方が科学者ステレオタイプとの類似性が高い。Stereotypes About… https://t.co/5KNUB0n9px,"[{""$numberLong"":""4966609""}]"
100937704,How do gender stereotypes influence women’s persistent underrepresentation in STEM? https://t.co/qF6ovpXBC9 #STEM #WomenInSTEM #gendergap,"[{""$numberLong"":""4966609""}]"
102709576,New study shows despite more #WomenInScience still perceived to lack qualities needed to be successful scientists https://t.co/4Lgym3ZuRk,"[{""$numberLong"":""4966609""}]"
102709987,RT @CorrieMoreau: New study shows despite more #WomenInScience still perceived to lack qualities needed to be successful scientists https:/…,"[{""$numberLong"":""4966609""}]"
102710399,RT @CorrieMoreau: New study shows despite more #WomenInScience still perceived to lack qualities needed to be successful scientists https:/…,"[{""$numberLong"":""4966609""}]"
102713784,RT @CorrieMoreau: New study shows despite more #WomenInScience still perceived to lack qualities needed to be successful scientists https:/…,"[{""$numberLong"":""4966609""}]"
102713808,RT @CorrieMoreau: New study shows despite more #WomenInScience still perceived to lack qualities needed to be successful scientists https:/…,"[{""$numberLong"":""4966609""}]"
102721195,RT @CorrieMoreau: New study shows despite more #WomenInScience still perceived to lack qualities needed to be successful scientists https:/…,"[{""$numberLong"":""4966609""}]"
102760888,RT @CorrieMoreau: New study shows despite more #WomenInScience still perceived to lack qualities needed to be successful scientists https:/…,"[{""$numberLong"":""4966609""}]"
104151349,RT @CorrieMoreau: New study shows despite more #WomenInScience still perceived to lack qualities needed to be successful scientists https:/…,"[{""$numberLong"":""4966609""}]"
105195839,Are women less successful scientists than men? No! But stereotypes exist https://t.co/IzUIHd97r9 @DrMLChivers @SarivanAnders @LiisaGalea,"[{""$numberLong"":""4966609""}]"
105197236,RT @DrLoriBrotto: Are women less successful scientists than men? No! But stereotypes exist https://t.co/IzUIHd97r9 @DrMLChivers @SarivanAnd…,"[{""$numberLong"":""4966609""}]"
105204000,RT @DrLoriBrotto: Are women less successful scientists than men? No! But stereotypes exist https://t.co/IzUIHd97r9 @DrMLChivers @SarivanAnd…,"[{""$numberLong"":""4966609""}]"
105204717,RT @DrLoriBrotto: Are women less successful scientists than men? No! But stereotypes exist https://t.co/IzUIHd97r9 @DrMLChivers @SarivanAnd…,"[{""$numberLong"":""4966609""}]"
105205580,RT @DrLoriBrotto: Are women less successful scientists than men? No! But stereotypes exist https://t.co/IzUIHd97r9 @DrMLChivers @SarivanAnd…,"[{""$numberLong"":""4966609""}]"
105209080,RT @DrLoriBrotto: Are women less successful scientists than men? No! But stereotypes exist https://t.co/IzUIHd97r9 @DrMLChivers @SarivanAnd…,"[{""$numberLong"":""4966609""}]"
105326860,RT @DrLoriBrotto: Are women less successful scientists than men? No! But stereotypes exist https://t.co/IzUIHd97r9 @DrMLChivers @SarivanAnd…,"[{""$numberLong"":""4966609""}]"
105356723,RT @DrLoriBrotto: Are women less successful scientists than men? No! But stereotypes exist https://t.co/IzUIHd97r9 @DrMLChivers @SarivanAnd…,"[{""$numberLong"":""4966609""}]"
105358835,RT @DrLoriBrotto: Are women less successful scientists than men? No! But stereotypes exist https://t.co/IzUIHd97r9 @DrMLChivers @SarivanAnd…,"[{""$numberLong"":""4966609""}]"
106584095,Check out our interview with Linda Carli about gender stereotypes &amp; science https://t.co/Na4E5gFIcN #STEM #GenderStereotypes #womeninscience,"[{""$numberLong"":""4966609""}]"
111883494,Stereotypes About Gender and Science: Women ≠ Scientists @PWQ4U https://t.co/2YpeP249SR #Psychology #Gender #Stereotypes,"[{""$numberLong"":""4966609""}]"
111884857,RT SAGEpsychology Stereotypes About Gender and Science: Women ≠ Scientists PWQ4U https://t.co/kz45SLfh8t #Psychology #Gender #Stereotypes,"[{""$numberLong"":""4966609""}]"
111885840,RT SAGEpsychology Stereotypes About Gender and Science: Women ≠ Scientists PWQ4U https://t.co/nh76WnRSMq #Psychology #Gender #Stereotypes,"[{""$numberLong"":""4966609""}]"
90421590,"""article addresses the need for a multidimensional understanding of #rape acknowledgment"" (paywall)#womensvoices https://t.co/zUKxaBSXAV","[{""$numberLong"":""4966618""}]"
142290821,A Listening Guide Analysis of Women’s Experiences of Unacknowledged Rape  https://t.co/UyLHK5jQBs,[4966618]
90597845,Both sexes perform less housework in countries where public opinion supports gender equality https://t.co/kBameTktz5 https://t.co/XhJWuNy0UM,"[{""$numberLong"":""4973114""}]"
90598017,RT @DegenRolf: Both sexes perform less housework in countries where public opinion supports gender equality https://t.co/kBameTktz5 https:/…,"[{""$numberLong"":""4973114""}]"
90598178,RT @DegenRolf: Both sexes perform less housework in countries where public opinion supports gender equality https://t.co/kBameTktz5 https:/…,"[{""$numberLong"":""4973114""}]"
90598621,RT @DegenRolf: Both sexes perform less housework in countries where public opinion supports gender equality https://t.co/kBameTktz5 https:/…,"[{""$numberLong"":""4973114""}]"
90598900,RT @DegenRolf: Both sexes perform less housework in countries where public opinion supports gender equality https://t.co/kBameTktz5 https:/…,"[{""$numberLong"":""4973114""}]"
90600611,RT @DegenRolf: Both sexes perform less housework in countries where public opinion supports gender equality https://t.co/kBameTktz5 https:/…,"[{""$numberLong"":""4973114""}]"
90600833,RT @DegenRolf: Both sexes perform less housework in countries where public opinion supports gender equality https://t.co/kBameTktz5 https:/…,"[{""$numberLong"":""4973114""}]"
90602656,RT @DegenRolf: Both sexes perform less housework in countries where public opinion supports gender equality https://t.co/kBameTktz5 https:/…,"[{""$numberLong"":""4973114""}]"
90603863,RT @DegenRolf: Both sexes perform less housework in countries where public opinion supports gender equality https://t.co/kBameTktz5 https:/…,"[{""$numberLong"":""4973114""}]"
90611582,RT @DegenRolf: Both sexes perform less housework in countries where public opinion supports gender equality https://t.co/kBameTktz5 https:/…,"[{""$numberLong"":""4973114""}]"
90611891,RT @DegenRolf: Both sexes perform less housework in countries where public opinion supports gender equality https://t.co/kBameTktz5 https:/…,"[{""$numberLong"":""4973114""}]"
90612381,RT @DegenRolf: Both sexes perform less housework in countries where public opinion supports gender equality https://t.co/kBameTktz5 https:/…,"[{""$numberLong"":""4973114""}]"
90618131,RT @DegenRolf: Both sexes perform less housework in countries where public opinion supports gender equality https://t.co/kBameTktz5 https:/…,"[{""$numberLong"":""4973114""}]"
90618164,RT @DegenRolf: Both sexes perform less housework in countries where public opinion supports gender equality https://t.co/kBameTktz5 https:/…,"[{""$numberLong"":""4973114""}]"
90621769,RT @DegenRolf: Both sexes perform less housework in countries where public opinion supports gender equality https://t.co/kBameTktz5 https:/…,"[{""$numberLong"":""4973114""}]"
90623954,RT @DegenRolf: Both sexes perform less housework in countries where public opinion supports gender equality https://t.co/kBameTktz5 https:/…,"[{""$numberLong"":""4973114""}]"
90625289,RT @DegenRolf: Both sexes perform less housework in countries where public opinion supports gender equality https://t.co/kBameTktz5 https:/…,"[{""$numberLong"":""4973114""}]"
90707175,RT @DegenRolf: Both sexes perform less housework in countries where public opinion supports gender equality https://t.co/kBameTktz5 https:/…,"[{""$numberLong"":""4973114""}]"
90726396,RT @DegenRolf: Both sexes perform less housework in countries where public opinion supports gender equality https://t.co/kBameTktz5 https:/…,"[{""$numberLong"":""4973114""}]"
90823460,RT @DegenRolf: Both sexes perform less housework in countries where public opinion supports gender equality https://t.co/kBameTktz5 https:/…,"[{""$numberLong"":""4973114""}]"
90769706,RT @HMRoff: See my newest paper on gender and warbots! https://t.co/oUa0ThsDSa @asu_gsi @NewAmerica @FLIxrisk @NewAmCyber @icracnet,"[{""$numberLong"":""4979302""}]"
90771284,RT @HMRoff: See my newest paper on gender and warbots! https://t.co/oUa0ThsDSa @asu_gsi @NewAmerica @FLIxrisk @NewAmCyber @icracnet,"[{""$numberLong"":""4979302""}]"
90792577,RT @HMRoff: See my newest paper on gender and warbots! https://t.co/oUa0ThsDSa @asu_gsi @NewAmerica @FLIxrisk @NewAmCyber @icracnet,"[{""$numberLong"":""4979302""}]"
90796138,RT @HMRoff: See my newest paper on gender and warbots! https://t.co/oUa0ThsDSa @asu_gsi @NewAmerica @FLIxrisk @NewAmCyber @icracnet,"[{""$numberLong"":""4979302""}]"
90803668,RT @HMRoff: See my newest paper on gender and warbots! https://t.co/oUa0ThsDSa @asu_gsi @NewAmerica @FLIxrisk @NewAmCyber @icracnet,"[{""$numberLong"":""4979302""}]"
90820178,RT @HMRoff: See my newest paper on gender and warbots! https://t.co/oUa0ThsDSa @asu_gsi @NewAmerica @FLIxrisk @NewAmCyber @icracnet,"[{""$numberLong"":""4979302""}]"
90905607,RT @HMRoff: See my newest paper on gender and warbots! https://t.co/oUa0ThsDSa @asu_gsi @NewAmerica @FLIxrisk @NewAmCyber @icracnet,"[{""$numberLong"":""4979302""}]"
90907484,RT @HMRoff: See my newest paper on gender and warbots! https://t.co/oUa0ThsDSa @asu_gsi @NewAmerica @FLIxrisk @NewAmCyber @icracnet,"[{""$numberLong"":""4979302""}]"
92509592,Great piece by Heather Roff on gender and robots - Gendering a Warbot https://t.co/DpKjQNOJ5S,"[{""$numberLong"":""4979302""}]"
117196107,Why are warbots so dangerous? Answer: They could reinforce gender norms https://t.co/FDTdYPoDq8 https://t.co/bBsSCuFzON,"[{""$numberLong"":""4979302""}]"
117196502,RT @RealPeerReview: Why are warbots so dangerous? Answer: They could reinforce gender norms https://t.co/FDTdYPoDq8 https://t.co/bBsSCuFzON,"[{""$numberLong"":""4979302""}]"
117196503,RT @RealPeerReview: Why are warbots so dangerous? Answer: They could reinforce gender norms https://t.co/FDTdYPoDq8 https://t.co/bBsSCuFzON,"[{""$numberLong"":""4979302""}]"
117196532,RT @RealPeerReview: Why are warbots so dangerous? Answer: They could reinforce gender norms https://t.co/FDTdYPoDq8 https://t.co/bBsSCuFzON,"[{""$numberLong"":""4979302""}]"
117196718,RT @RealPeerReview: Why are warbots so dangerous? Answer: They could reinforce gender norms https://t.co/FDTdYPoDq8 https://t.co/bBsSCuFzON,"[{""$numberLong"":""4979302""}]"
117196746,RT @RealPeerReview: Why are warbots so dangerous? Answer: They could reinforce gender norms https://t.co/FDTdYPoDq8 https://t.co/bBsSCuFzON,"[{""$numberLong"":""4979302""}]"
117196803,RT @RealPeerReview: Why are warbots so dangerous? Answer: They could reinforce gender norms https://t.co/FDTdYPoDq8 https://t.co/bBsSCuFzON,"[{""$numberLong"":""4979302""}]"
117197037,RT @RealPeerReview: Why are warbots so dangerous? Answer: They could reinforce gender norms https://t.co/FDTdYPoDq8 https://t.co/bBsSCuFzON,"[{""$numberLong"":""4979302""}]"
117197089,RT @RealPeerReview: Why are warbots so dangerous? Answer: They could reinforce gender norms https://t.co/FDTdYPoDq8 https://t.co/bBsSCuFzON,"[{""$numberLong"":""4979302""}]"
117197546,RT @RealPeerReview: Why are warbots so dangerous? Answer: They could reinforce gender norms https://t.co/FDTdYPoDq8 https://t.co/bBsSCuFzON,"[{""$numberLong"":""4979302""}]"
117197758,RT @RealPeerReview: Why are warbots so dangerous? Answer: They could reinforce gender norms https://t.co/FDTdYPoDq8 https://t.co/bBsSCuFzON,"[{""$numberLong"":""4979302""}]"
117198237,RT @RealPeerReview: Why are warbots so dangerous? Answer: They could reinforce gender norms https://t.co/FDTdYPoDq8 https://t.co/bBsSCuFzON,"[{""$numberLong"":""4979302""}]"
117198447,RT @RealPeerReview: Why are warbots so dangerous? Answer: They could reinforce gender norms https://t.co/FDTdYPoDq8 https://t.co/bBsSCuFzON,"[{""$numberLong"":""4979302""}]"
117198749,RT @RealPeerReview: Why are warbots so dangerous? Answer: They could reinforce gender norms https://t.co/FDTdYPoDq8 https://t.co/bBsSCuFzON,"[{""$numberLong"":""4979302""}]"
117199541,RT @RealPeerReview: Why are warbots so dangerous? Answer: They could reinforce gender norms https://t.co/FDTdYPoDq8 https://t.co/bBsSCuFzON,"[{""$numberLong"":""4979302""}]"
117200147,RT @RealPeerReview: Why are warbots so dangerous? Answer: They could reinforce gender norms https://t.co/FDTdYPoDq8 https://t.co/bBsSCuFzON,"[{""$numberLong"":""4979302""}]"
117200479,RT @RealPeerReview: Why are warbots so dangerous? Answer: They could reinforce gender norms https://t.co/FDTdYPoDq8 https://t.co/bBsSCuFzON,"[{""$numberLong"":""4979302""}]"
117201174,RT @RealPeerReview: Why are warbots so dangerous? Answer: They could reinforce gender norms https://t.co/FDTdYPoDq8 https://t.co/bBsSCuFzON,"[{""$numberLong"":""4979302""}]"
117202707,RT @RealPeerReview: Why are warbots so dangerous? Answer: They could reinforce gender norms https://t.co/FDTdYPoDq8 https://t.co/bBsSCuFzON,"[{""$numberLong"":""4979302""}]"
117205256,RT @RealPeerReview: Why are warbots so dangerous? Answer: They could reinforce gender norms https://t.co/FDTdYPoDq8 https://t.co/bBsSCuFzON,"[{""$numberLong"":""4979302""}]"
117205643,RT @RealPeerReview: Why are warbots so dangerous? Answer: They could reinforce gender norms https://t.co/FDTdYPoDq8 https://t.co/bBsSCuFzON,"[{""$numberLong"":""4979302""}]"
