Positive	Negative	Text
1	-4	Gender equality in housework among professional Filipinas in Melbourne painfully slow and illusory? by Limpangog [5093628]
1	-2	Gender inequality within the ivory tower bookreview highered womeninscience [5100852]
1	-2	Queering the transnational turn regionalism and queer Asias [5100858]
1	-2	Queering the transnational turn regionalism and queer Asias, Howard Chiang and Alvin K Wong queerstudies Asia [5100858]
1	-2	Queering the transnational turn regionalism and queer Asias by Chiang and Wong [5100858]
1	-2	Whats radical about reality TV? An unexpected tale from Shanghai of a Chinese lesbian antihero [5100859]
1	-2	Whats radical about reality TV? An unexpected tale from Shanghai of a Chinese lesbian antihero, Camila Bassi [5100859]
1	-1	A 2016 paper uses Marxism to analyse lesbian sub-cultures on Chinese reality shows [5100859]
1	-2	Critical queer regionality and LGBTQ politics in Europe, Jon Binnie LGBTQpolitics Europe sexuality regionality [5100925]
1	-2	Critical queer regionality and LGBTQ politics in Europe by Jon Binnie, [5100925]
1	-1	The phenotypic impact of the male-specific region of chromosome-Y in inbred mating the role of genetic variants [5101813]
1	-2	New data show that Y chromosome  has elevated effects compared to the autosomes on 53 phenot in 7 rat strainsbsd [5101813]
1	-1	Open access article Oral sex, young people and gendered narratives of reciprocity [5103506]
1	-1	Interviews w/ UK teens reveals 2 contrasting views of OralSex on women as bigger deal vs equal to oral on men [5103506]
1	-1	The latest paper from our sixteen18 project --&gt Oral Sex, Young People, and Gendered Narratives of Reciprocity [5103506]
1	-1	Oral Sex and Gendered Narratives of Reciprocity (M/F) in The Journal of Sex Research [5103506]
1	-1	Is it really give and take? New research examines how young people talk about oral sex adolescenthealth [5103506,5103506]
2	-1	Interesting study about OralSex and Adolescents Is it mutual, reciprocal between young men and women? by [5103506]
1	-1	Oral Sex, Young People, and Gendered Narratives of Reciprocity [a] HT [5103506]
1	-1	and here's the link to the oral sex paper itself [5103506]
1	-2	Serious article that blew me away Oral Sex, Young People, and Gendered Narratives of Reciprocity [5103506]
1	-1	Finally got it Snake &gt pussy I thought they were representing 'bocat' with an actual cat [5103506]
1	-1	Full open access text of piece in TandF's top 10 available on LSHTM's Research Online here [5103506]
2	-1	This looks interesting Oral Sex, Young People, and Gendered Narratives of Reciprocity [5103506]
1	-1	Planning with communities in regeneration projects toward a gendered civicTovi Fenster, Efrat Eizenberg gender  [5105868]
1	-1	Planning with communities in regeneration projects toward a gendered civicTovi Fenster, Efrat Eizenberg gender [5105868]
1	-1	Planning with communities in regeneration projects toward a gendered civic capacity by Fenster and Eizenberg, [5105868]
3	-1	"But you dont look like a scientist!" Womeninscience with feminine appearance deemed less likely to be scientists [5110616]
1	-1	"Women Scientists with Feminine Appearance Deemed Less Likely to be Scientists"  STEM science gender bias edu [5110616]
3	-1	"But you dont look like a scientist!" Womeninscience with feminine appearance deemed less likely to be scientists ht [5110616]
2	-1	But You Dont Look Like A Scientist! Women Scientists w/Feminine Appearance are Deemed Less Likely to be Scientists [5110616]
1	-1	Women Scientists with Feminine Appearance are Deemed Less Likely to be Scientists 2016, authors inc [5110616]
1	-1	Women Scientists with Feminine Appearance are Deemed Less Likely to be Scientists 2016, authors in [5110616]
1	-1	Women Scientists with Feminine Appearance are Deemed Less Likely to be Scientists (2016) via [5110616]
1	-1	Results suggest 4 womeninSTEM, feminine appearance may signal that they're not well suited 4 sci springerlink [5110616]
1	-1	just found it [5110616]
1	-1	Women judged more feminine looking also judged less likely to be scientists [5110616]
1	-1	Seriously? "Women scientists with feminine appearance are deemed less likely to be scientists" springerlink [5110616]
1	-4	Sad not surprsed Feminine appearance may erroneously signal that you are not well suited for science springerlink [5110616]
2	-1	Here's why products like flipitecon should be representing female economists in their tools [5110616]
1	-4	Sad not surprsed Feminine appearance may erroneously signal that you are not well suited for science [5110616]
2	-1	Here's why products like flipitecon should be representing female economists in their tools htt [5110616]
1	-3	It is ridiculous that women scientists with feminine appearance are thought to be less likely to be scientists [5110616]
2	-1	How does a female scientist looks like? JUST LIKE A SCIENTIST!  - "Feminine appearance affected career judgments [5110616]
1	-1	sySTEMatic gender bias Women scientists with feminine appearance deemed less likely to be scientists springerlink [5110616]
2	-1	Does it matter what you look like to be considered a scientist  Yes it does particularly if you are a woman [5110616]
1	-1	sySTEMatic gender bias Women scientists with feminine appearance deemed less likely to be scientists [5110616]
2	-1	Does it matter what you look like to be considered a scientist  Yes it does particularly if you are a woman   [5110616]
1	-2	Women Scientists with Feminine Appearance are Deemed Less Likely to be Scientists KickAssOnFleek BoobsnBeakers [5110616]
2	-1	But You Dont Look Like A Scientist! Feminine Appearance Deemed Less Likely to be Scientists - Springer [5110616]
2	-1	Welcome to 2016 everyone Way to go for WomenInSTEM ( (HT  ) [5110616]
1	-1	Fascinating study Feminine women less likely to be perceived as scientists [5110616]
1	-1	thestruggleisreal AndAScientist  Women Scientists with Feminine Appearance are Deemed Less Likely to be Scientists [5110616]
2	-1	Interesting study RE gender bias in STEM fields (makes me want to put my stiletto through someone's eye however) [5110616]
1	-2	Women Scientists with Feminine Appearance are Deemed Less Likely to be Scientists *BARF* [5110616]
3	-2	'But you don't look like a scientist!', when appearance (gender?!) counts against you Interesting read ($) [5110616]
1	-1	Gendered appearance Stereotypes Femininity Face perception Physical appearance Science STEM Sexism [5110616]
1	-1	So, if you look too feminine you can't be a scientist? WomenInSTEM WomenInScience science [5110616]
1	-2	Sadly there were cases of this in Evol2016 sexism WomenInSTEM toofeminine [5110616]
1	-1	Women Scientists with Feminine Appearance are Deemed Less Likely to be Scientists [5110616]
1	-1	Women Scientists with Feminine Appearance are Deemed Less Likely to be Scientists    [5110616]
2	-1	But You Dont Look Like A Scientist! Women Scientists w Feminine Appearance are Deemed Less Likely to be Scientists [5110616]
1	-2	I believe more and more that just getting women in tenure track positions is the solution to bias against women [5110616]
1	-1	How many papers do I need before wearing makeup to lab? [5110616]
1	-1	Grr Women with feminine appearance are deemed less likely to be scientists springerlink [5110616]
1	-1	For those wondering whether my rant was warranted (about the question I got after posting my picture), here you go [5110616]
2	-1	It's true, some women "just don't look like a scientist" HT [5110616]
2	-1	Two recent studies confirm that feminine appearance makes women, but not men, look less like scientists WomenInSTEM [5110616]
2	-1	Two recent studies confirm that feminine appearance makes women, but not men, look less like scientists WomenInSTEM  [5110616]
2	-1	But You Dont Look Like A Scientist! Women Scientists with Feminine Appearance are Deemed Less [5110616]
2	-1	But You Dont Look Like A Scientist! Women with Feminine Appearance are Deemed Less Likely to be Scientists [5110616]
2	-1	Having been called "Miss" and "sidekick" to male coauthors by anti-porn orgs,women-can't-be-scientists still common [5110616]
1	-1	Experienced this my whole career Women Scientists with Feminine Appearance are Deemed Less Likely to be Scientists [5110616]
1	-1	"for women pursuing STEM, feminine appearance may erroneously signal that they are not well suited for science" [5110616]
2	-2	An unfortunate truth - many find it hard to accept femme in stem LadiesInSTEM WomenInScience [5110616]
1	-1	New study Women Scientists with Feminine Appearance are Deemed Less Likely to be Scientists womenalsoknowstuff [5110616]
1	-1	    Women Scientists with Feminine Appearance are Deemed Less Likely to be Scientists  &gt( [5110616]
2	-1	*sigh* I am a scientist I look like me There is no particular way a scientist is supposed to look [5110616]
1	-1	more reasons why we need more womeninSTEM WomenInScience via [5110616]
1	-1	New study Women Scientists with Feminine Appearance are Deemed Less Likely to be Scientists wo [5110616]
1	-1	But U Dont Look Like A Scientist Women Scientists with Feminine Appearance are Deemed Less Likely to be Scientists [5110616]
2	-1	You Dont Look Like A Scientist! Women Scientists with Feminine Appearance are Deemed Less Likely to be Scientists [5110616]
2	-1	But you don't look like a scientist [5110616]
1	-2	Uphill battle Experiment with photos of real STEM professors [5110616]
1	-1	For women pursuing STEM, feminine appearance may erroneously signal that they are not well suited for science [5110616]
2	-1	Let's break stereotypes! Women Scientists with Feminine Appearance -Less Likely to be Scientists - [5110616]
1	-1	Women Scientists with Feminine Appearance are Deemed Less Likely to be Scientists feminist [5110616]
2	-1	But You Dont Look Like A Scientist! Women Scientists with Feminine Appearance  Deemed Less Likely to be Scientists [5110616]
2	-1	New research looking feminine makes you appear less like a scientist ( [5110616]
1	-1	WomenInScience with Feminine Appearance are Deemed Less Likely to be Scientists ILookLikeAScientist WomenInSTEM [5110616]
1	-1	WomenInScience with Feminine Appearance are Deemed Less Likely to be Scientists ILookLikeAScientis [5110616]
2	-1	More "feminine" women don't "look like scientists," apparently equalityinscience thisneedstochange [5110616]
2	-1	But You Dont Look Like A Scientist! Women Scientists with Feminine Appearance are Deemed Less Likely to be Scient [5110616]
1	-1	Stereotypes Women Scientists with Feminine Appearance are Deemed Less Likely to be Scientists [5110616]
2	-1	But You Dont Look Like A Scientist! Women Scientists w Feminine Appearance are Deemed Less Likely to be Scientists  [5110616]
2	-1	But You Dont Look Like A Scientist! Women Scientists w/ Feminine Appearance are Deemed Less Likely to be Scientists [5110616]
1	-1	The more feminine women are perceived to be, the less likely ppl think they are scientists [5110616]
1	-1	Other than the use of MTurk, I'd consider this a well-designed study Actual paper [5110616]
1	-3	Challenge the stereotype that feminine women can't be scientists! WomenInSTEM [5110616]
1	-1	Remember the study that said makeup helps women's careers?  People Seem Feminine Women LESS Likely to be Scientists [5110616]
2	-1	But You Dont Look Like A Scientist! Women with Feminine Appearance are Less Likely to be Scientists springerlink [5110616]
1	-1	The more feminine women are perceived to be, the less likely ppl think they are scientists   [5110616]
2	-1	Encourage ["feminine looking"] girls and young women to become scientists, too ILookLikeAnEngineer WomenInSTEM [5110616]
2	-1	"You Dont Look Like A Scientist! Women Scientists with Feminine Appearance Deemed Less Likely to be Scientists" [5110616]
2	-1	But You Dont Look Like A Scientist! Women Scientists w Feminine Appearance are Deemed Less Likely to be Scientists htt [5110616]
2	-1	But You Dont Look Like A Scientist! [5110616]
2	-1	But You Dont Look Like A Scientist! Women Scientists with Feminine Appearance are Deemed Less Likely to be Scien [5110616]
1	-1	"for women pursuing STEM, feminine appearance may erroneously signal that they are not well suited for science" ( [5110616]
1	-1	On the list of things that grind my gears women scientists wearepeopletoo [5110616]
2	-1	But You Dont Look Like A Scientist! Women Scientists with Feminine Appearance are Deemed Less Likely to be Scient  [5110616]
2	-1	Let's break stereotypes! Women Scientists with Feminine Appearance -Less Likely to be Scientists -   [5110616]
1	-1	Women Scientists with Feminine Appearance are Deemed Less Likely to be Scientists  &gt( [5110616]
1	-2	"dissatisfaction abandonment " This is women in science, y'all 3/3 [5110616]
2	-1	Another "but you don't look like a scientist" study - why we need more women in science [5110616]
2	-1	But You Dont Look Like A Scientist! Women Scientists w Feminine Appearance are Deemed Less Likely to be Scientists ht [5110616]
1	-1	"Women Scientists with Feminine Appearance Deemed Less Likely to be Scientists" WomenInScience Sexi [5110616]
1	-1	"Women Scientists with Feminine Appearance Deemed Less Likely to be Scientists" WomenInScience SexismInScience [5110616]
1	-1	Having one of those mornings where I'm reading about this stuff instead of actually doing science and feeling  [5110616]
2	-1	But You Don't Look Like A Scientist! [5110616]
2	-1	Study shows Women Scientists with Feminine Appearance Deemed Less Likely to be Scientists Also true for economists? [5110616]
1	-1	Fascinating new study - Women Scientists with Feminine Appearance are Deemed Less Likely to be Scientists - [5110616]
3	-2	But you don't look like a scientist! Maybe I should invest in a fake mustache WomenInSTEM [5110616]
2	-1	Study shows Women Scientists with Feminine Appearance Deemed Less Likely to be Scientists Also true for [5110616]
2	-1	You Dont Look Like A Scientist! Women Scientists with Feminine Appearance are Deemed Less Likely to be Scientists - [5110616]
2	-1	You Dont Look Like A Scientist! Women Scientists with Feminine Appearance are Deemed Less Likely to be Scientists - h [5110616]
2	-1	But You Dont Look Like A Scientist! Women Scientists w Feminine Appearance Deemed Less Likely to be Scientists [5110616]
1	-1	Women Scientists with Feminine Appearance are Deemed Less Likely to be Scientists  STEM [5110616]
1	-1	But we need to acknowledge that there is a penalty for appearing feminine in STEM   WiSTEMspotlight [5110616]
1	-4	There *is* actually a reason to be afraid of appearing "too feminine" in STEM It sucks and it needs to be fixed [5110616]
2	-1	Hugely valid point in the WiSTEMspotlight discussions Worth a read, this Thanks for sharing,   Fab Twitter handle too!  [5110616]
1	-1	Women with feminine appearance are deemed less likely to be scientists [5110616]
2	-1	Women scientists with feminine appearances deemed less likely to be scientists!?SheCanCode Ilooklikeanengineer [5110616]
1	-1	Feminine appearance penalty in the sciences? WomeninSTEM actuallivingscientist paperoftheday springerlink [5110616]
1	-2	The more feminine a person is, the less likely they are perceived to be in STEM   Laura isn't super feminine but [5110616]
2	-3	fun fact my bold lip color is actually feminist war paint  [5110616]
1	-2	Fascinating paper on a serious problem in STEM Worth the read [5110616]
2	-1	But You Dont Look Like A Scientist! Women Scientists with Feminine Appearance Deemed Less Likely to be Scientists [5110616]
1	-1	Up to us to show science is an endeavour of our neurons, not external physical appearance In Biosciences women numbers are to par with men [5110616]
1	-1	Up to us to show science is an endeavour of our neurons, not external physical appearance In Biosciences women numbers are [5110616]
1	-1	Sigh Definitely worth discussing in education and research meetings, quickly before school starts scied ngss gendergap [5110616]
1	-1	Sigh Definitely worth discussing in education and research meetings, quickly before school starts scied ngss gend [5110616]
2	-1	implicitbias and thanks to my snazzy   app I could read this right away Apparently, must change my very nature to look credible [5110616]
2	-1	implicitbias and thanks to my snazzy   app I could read this right away Apparently, must change my very nature to loo [5110616]
1	-1	Study women scientists with feminine appearance are deemed less likely to be scientists womeninSTEM [5110616]
1	-2	Gosh, wouldn't this imply the social fault lines women navigate explains their underrepresentation more than "biological differences"? [5110616]
1	-2	Gosh, wouldn't this imply the social fault lines women navigate explains their underrepresentation more than "biological diffe [5110616]
1	-1	This Luckily for me I now work in marketing, so fit into a stereotype box more neatly [5110616]
2	-1	But You Dont Look Like A Scientist! Women Scientists with Feminine Appearance Deemed Less Likely to be Scientists ht [5110616]
1	-2	Study found difference between females and males in learning when they practice inhibition of inappropriate behavior [5298097]
1	-2	Study found difference between females and males in learning when they practice inhibition of inappropriate behavior  [5298097]
1	-1	Measuring the Pros and Cons of What It Means to Be a Black Man the Black Mens Experiences Scale (BMES) [5394068]
1	-1	Measuring the pros and cons of what it means to be a Black man Development and validatio MentalHealth psych [5394068]
1	-1	Measuring the pros and cons of what it means to be a Black man Development and validation of [5394068]
1	-2	Gay men are more likely to consider cosmetic surgery, use diet pills and avoid sex because of body dissatisfaction [5518136]
1	-1	Male Body Image The Roles of Sexual Orientation and Body Mass Index Across Five National US Studies [5518136]
1	-1	Male bodyimage The roles of sexual orientation and BMI menshealth LGBT [5518136]
1	-1	Largest study conducted on male bodyimage [5518136]
1	-1	Male BodyImage Roles of Sexual Orientation, Body Mass Index - 5 US Studies Psychology of Men and Masculinity [5518136]
1	-1	"Male Body Image The Roles of Sexual Orientation and Body Mass Index Across Five National US Studies" [5518136]
1	-1	Key influence of sex on urine volume and osmolality [5531874]
1	-1	Why Do Men Get More Kidney Stones - Key influence of sex on urine volume and osmolality - bsd [5531874]
1	-1	Better with age a health promotion program for men at midlife [5624029]
1	-1	Better With Age A Health Promotion Program for Men at Midlife Mellor et al  Psychology of Men and Masculinity [5624029]
